,u_windows,g_value,wwr,fixedShadingDepth,heatingSum,heatingMax,lightingSum,temperature>28C
45,0.5,0.4,0.4,0.75,575370720.2009614,2203.2470599925723,512927781.6837206,1508
46,0.5,0.4,0.4,1.0,548837705.7781216,2669.176219710061,512913999.06923485,1458
47,0.5,0.4,0.4,1.25,581645563.101687,1997.4506670083545,512961034.4734837,1409
48,0.5,0.4,0.4,1.5,576450667.2904264,2648.588759918946,513021122.6777135,1347
49,0.5,0.4,0.5,0.01,717785787.5090061,3145.439837024816,512571952.75130117,1780
50,0.5,0.4,0.5,0.25,723491414.3821267,3162.794894411541,512547569.5496087,1757
51,0.5,0.4,0.5,0.5,708564972.5435853,4221.704527715818,512495486.0770518,1727
52,0.5,0.4,0.5,0.75,714951452.663591,4129.100374858549,512443946.94799966,1663
53,0.5,0.4,0.5,1.0,715426383.1132612,4711.200184865592,512463383.8131467,1598
54,0.5,0.4,0.5,1.25,685863385.6987077,3211.04163835367,512484220.63666075,1528
55,0.5,0.4,0.5,1.5,674125867.0139856,2619.5441050114923,512514110.2329446,1481
56,0.5,0.4,0.6,0.01,899040851.9868896,5301.609577719503,512255837.2453495,1948
57,0.5,0.4,0.6,0.25,883484987.1350732,5318.387000735105,512287513.55864584,1931
58,0.5,0.4,0.6,0.5,888274923.6375345,5341.63292430481,512235584.99581414,1877
59,0.5,0.4,0.6,0.75,873047992.0713204,4490.288441498858,512247272.48001766,1806
60,0.5,0.4,0.6,1.0,922351778.5328792,4522.22729144475,512149012.5622098,1741
61,0.5,0.4,0.6,1.25,946923404.3137624,4722.990364512779,512148524.3914692,1676
62,0.5,0.4,0.6,1.5,966191047.028055,5702.235796225797,512180106.97586155,1617
63,0.5,0.5,0.4,0.01,479685989.473981,2436.0693368568377,513062867.32395715,1852
64,0.5,0.5,0.4,0.25,497906441.6052683,2440.5574155223885,513066175.9868363,1830
65,0.5,0.5,0.4,0.5,526486675.350577,2643.1705045153885,513075087.2325349,1791
66,0.5,0.5,0.4,0.75,520677479.1902378,4232.086225005015,513044564.678624,1723
67,0.5,0.5,0.4,1.0,495875194.74496615,2607.644023492402,513036833.8875149,1638
68,0.5,0.5,0.4,1.25,525056813.6540966,2087.865392594829,513015797.5061594,1568
69,0.5,0.5,0.4,1.5,507243449.84478295,2136.900978733847,513009798.3016674,1525
70,0.5,0.5,0.5,0.01,672473125.276883,4035.7635057726816,512602657.9792126,2065
71,0.5,0.5,0.5,0.25,637475777.0363698,3199.1445054729334,512580883.74739647,2042
72,0.5,0.5,0.5,0.5,683558727.4927757,3671.178144403798,512610581.40951955,1980
73,0.5,0.5,0.5,0.75,687946849.7070391,3690.473667498836,512629986.5628236,1892
74,0.5,0.5,0.5,1.0,652294204.3906741,3795.1732905560334,512660052.6578163,1822
75,0.5,0.5,0.5,1.25,655384148.3681948,3830.326388323132,512604561.4630531,1746
76,0.5,0.5,0.5,1.5,716074373.0334237,4554.642562125195,512611765.9564478,1694
77,0.5,0.5,0.6,0.01,815792151.6586775,3860.3752707635263,512303794.6489175,2357
78,0.5,0.5,0.6,0.25,813652126.7059729,3854.786716159042,512281556.85514086,2323
79,0.5,0.5,0.6,0.5,852305552.5211216,3874.486808056064,512264364.24465084,2250
80,0.5,0.5,0.6,0.75,870431875.4926379,3918.951341037505,512252858.4200843,2157
81,0.5,0.5,0.6,1.0,848802532.8062549,3959.664467738848,512307004.90731764,2037
82,0.5,0.5,0.6,1.25,903249344.4339138,4251.546137150692,512345098.5872008,1935
83,0.5,0.5,0.6,1.5,880346238.0964311,4139.650370262434,512347719.19842416,1849
84,0.5,0.6,0.4,0.01,467001803.6249635,3427.3002787978558,513174622.1497194,2064
85,0.5,0.6,0.4,0.25,465844816.0905708,3433.228886874395,513177993.8505658,2048
86,0.5,0.6,0.4,0.5,471549356.72912574,2988.6902403633667,513133266.10566807,1984
87,0.5,0.6,0.4,0.75,460020439.0690506,2800.5396333910285,513154199.4976476,1893
88,0.5,0.6,0.4,1.0,463397922.56416535,3338.084923859755,513222101.421299,1826
89,0.5,0.6,0.4,1.25,492652239.8708594,4150.364780451871,513219766.0271925,1763
90,0.5,0.6,0.4,1.5,454058028.0443033,2381.0411301466524,513266754.776536,1683
91,0.5,0.6,0.5,0.01,589669667.7726443,3022.65698100204,512746457.9169633,2388
92,0.5,0.6,0.5,0.25,554520997.4917839,3028.71701553376,512680825.5429842,2362
93,0.5,0.6,0.5,0.5,576595026.3915205,3080.225283806569,512686923.4228676,2278
94,0.5,0.6,0.5,0.75,618504518.7736819,3061.43412294149,512685264.9190464,2185
95,0.5,0.6,0.5,1.0,629840166.7165513,3304.338933772456,512693611.8328894,2064
96,0.5,0.6,0.5,1.25,624531111.6246312,3174.761780100493,512717490.2130257,1969
97,0.5,0.6,0.5,1.5,647849074.420644,2986.6951023633355,512771805.21463317,1879
98,0.5,0.6,0.6,0.01,705887676.593475,3836.9371622039703,512428423.67445725,2754
99,0.5,0.6,0.6,0.25,714443571.3817902,3848.1182761528994,512396224.2791073,2720
100,0.5,0.6,0.6,0.5,709973153.2539804,3759.735834137319,512377037.54946005,2635
101,0.5,0.6,0.6,0.75,705503825.713279,3664.448880013102,512367701.32279456,2494
102,0.5,0.6,0.6,1.0,751500460.7293632,3048.850614246612,512387186.67791843,2361
103,0.5,0.6,0.6,1.25,787545193.6046467,3746.8771917905783,512401936.5367376,2246
104,0.5,0.6,0.6,1.5,819054287.3632087,3190.959503037631,512413472.12583256,2141
105,0.5,0.7,0.4,0.01,391379600.7389186,2854.267508396026,513274539.5086114,2330
106,0.5,0.7,0.4,0.25,392036979.6736975,2086.037178224383,513255442.4962524,2303
107,0.5,0.7,0.4,0.5,412875729.9241647,2851.58798632796,513264648.514128,2222
108,0.5,0.7,0.4,0.75,392119736.2832081,2225.6384044594174,513229558.86996335,2110
109,0.5,0.7,0.4,1.0,402614150.8375093,2175.210320842182,513226267.78543013,1997
110,0.5,0.7,0.4,1.25,414236372.9434485,1979.659571528392,513280607.57229203,1913
111,0.5,0.7,0.4,1.5,479091762.7851603,2948.722174842592,513344949.2729365,1835
112,0.5,0.7,0.5,0.01,527203170.7419804,2941.9520538869456,512831120.2592748,2731
113,0.5,0.7,0.5,0.25,494144226.9753264,2941.798402220757,512798852.052141,2704
114,0.5,0.7,0.5,0.5,492777730.017132,2951.1625535812327,512805063.8640359,2612
115,0.5,0.7,0.5,0.75,519139583.1781685,3207.73957507406,512797410.6047772,2455
116,0.5,0.7,0.5,1.0,533672447.1011908,2970.2051859371463,512793769.51412946,2314
117,0.5,0.7,0.5,1.25,579240007.2353861,2594.4702715673,512794998.16470957,2207
118,0.5,0.7,0.5,1.5,642728748.9132531,3112.9602220086044,512827052.886618,2104
119,0.5,0.7,0.6,0.01,629872151.2636284,3199.925430684121,512543274.69998723,3127
120,0.5,0.7,0.6,0.25,603490768.0287282,2833.433879917736,512544798.4200764,3103
121,0.5,0.7,0.6,0.5,637062847.2120879,4136.284184548264,512463983.8073038,3024
122,0.5,0.7,0.6,0.75,649920969.8274807,2998.0383416732584,512484967.81635314,2888
123,0.5,0.7,0.6,1.0,668373604.4036021,3811.773328992222,512512965.3249079,2722
124,0.5,0.7,0.6,1.25,697362195.7552606,3677.198440589684,512551662.21465397,2546
125,0.5,0.7,0.6,1.5,752461650.5255642,3791.170196567976,512552792.7044498,2402
126,0.5,0.8,0.4,0.01,329881698.97103,2997.2080756852297,513346723.7839209,2585
127,0.5,0.8,0.4,0.25,338808114.18063974,3021.3630630475323,513350162.1844822,2552
128,0.5,0.8,0.4,0.5,327809062.1823081,3043.9304609076667,513323639.8281094,2470
129,0.5,0.8,0.4,0.75,372434186.49516106,3082.798743256379,513311203.5017222,2329
130,0.5,0.8,0.4,1.0,364282369.8857356,2164.025057657735,513340495.8614066,2208
131,0.5,0.8,0.4,1.25,392593180.8078031,1761.0781375412244,513368976.6585881,2079
132,0.5,0.8,0.4,1.5,416388957.2975992,2391.345388977611,513405040.0387576,1976
